Compound	Sample Name	Height	Area	Actual RT	m/z (Delta)	Formula
Hypotaurine U-13C neg	solvent_blank_2	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C neg	P9	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C neg	P8	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C neg	P7	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C neg	P6	2477	8727	4.5	-1.8696 (ppm)	[13]C2H7NO2S
Hypotaurine U-13C neg	P5	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C neg	P4	659	2455	14.39	2.4992 (ppm)	[13]C2H7NO2S
Hypotaurine U-13C neg	P3	1382	8471	11.41	1.5977 (ppm)	[13]C2H7NO2S
Hypotaurine U-13C neg	P2	3506	12157	4.23	-.6214 (ppm)	[13]C2H7NO2S
Hypotaurine U-13C neg	P1	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C neg	solvent_blank_1	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C pos	solvent_blank_2	1306	4766	8.39	.5877 (ppm)	[13]C2H7NO2S
Hypotaurine U-13C pos	P9	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C pos	P8	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C pos	P7	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C pos	P6	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C pos	P5	0	0	0	0	[13]C2H7NO2S
Hypotaurine U-13C pos	P4	413279	6288813	6.44	2.2221 (ppm)	[13]C2H7NO2S
Hypotaurine U-13C pos	P3	30830	105220	5.7	1.5411 (ppm)	[13]C2H7NO2S
Hypotaurine U-13C pos	P2	183578	1847709	7.49	-1.2509 (ppm)	[13]C2H7NO2S
Hypotaurine U-13C pos	P1	953	3519	5.12	1.2006 (ppm)	[13]C2H7NO2S
Hypotaurine U-13C pos	solvent_blank_1	1034	3799	14.18	-1.7276 (ppm)	[13]C2H7NO2S
Hypoxanthine neg	solvent_blank_2	14331	346904	3.71	-.4169 (ppm)	C5H4N4O
Hypoxanthine neg	P9	17471	654708	3.71	-.3039 (ppm)	C5H4N4O
Hypoxanthine neg	P8	1520886	20672017	7.41	1.1651 (ppm)	C5H4N4O
Hypoxanthine neg	P7	121152	2835779	8.12	.7131 (ppm)	C5H4N4O
Hypoxanthine neg	P6	58315570	865219996	6.95	-.3039 (ppm)	C5H4N4O
Hypoxanthine neg	P5	25368	915032	1.76	-.5299 (ppm)	C5H4N4O
Hypoxanthine neg	P4	246910	5335552	3.72	-.4169 (ppm)	C5H4N4O
Hypoxanthine neg	P3	142833835	2109441910	6.23	-.4169 (ppm)	C5H4N4O
Hypoxanthine neg	P2	211862	3122292	3.82	-.8689 (ppm)	C5H4N4O
Hypoxanthine neg	P1	36473	808422	3.7	-.3039 (ppm)	C5H4N4O
Hypoxanthine neg	solvent_blank_1	90925	3503218	3.7	-.4169 (ppm)	C5H4N4O
Hypoxanthine pos	solvent_blank_2	29544	405338	3.73	-.0995 (ppm)	C5H4N4O
Hypoxanthine pos	P9	26031	885778	8.18	.7913 (ppm)	C5H4N4O
Hypoxanthine pos	P8	10317546	141289441	7.42	.9026 (ppm)	C5H4N4O
Hypoxanthine pos	P7	1996157	20342463	8.11	2.4614 (ppm)	C5H4N4O
Hypoxanthine pos	P6	2124003836	36745823758	6.93	1.1253 (ppm)	C5H4N4O
Hypoxanthine pos	P5	132228	2749056	3.81	.2345 (ppm)	C5H4N4O
Hypoxanthine pos	P4	178778	7023313	3.68	.4572 (ppm)	C5H4N4O
Hypoxanthine pos	P3	1488745727	23794770693	6.27	.5686 (ppm)	C5H4N4O
Hypoxanthine pos	P2	30279089	444093590	10.5	.2345 (ppm)	C5H4N4O
Hypoxanthine pos	P1	92995	2104925	9.18	.1232 (ppm)	C5H4N4O
Hypoxanthine pos	solvent_blank_1	208894	4716238	3.81	.3459 (ppm)	C5H4N4O
Hypoxanthine U-13C neg	solvent_blank_2	1002	3733	2.39	-4.1820 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C neg	P9	827	3021	8.86	-1.2403 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C neg	P8	952	3419	5.77	-.8044 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C neg	P7	6403	76807	5.54	-2.3298 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C neg	P6	0	0	0	0	[13]C5H4N4O
Hypoxanthine U-13C neg	P5	0	0	0	0	[13]C5H4N4O
Hypoxanthine U-13C neg	P4	4853	16700	3.81	-3.3104 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C neg	P3	1086	3874	7.41	-3.0925 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C neg	P2	3425	12159	3.88	2.4642 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C neg	P1	1098	3974	2.16	3.3358 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C neg	solvent_blank_1	1401	5141	1.25	-1.6761 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C pos	solvent_blank_2	1033	3874	14.3	1.6184 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C pos	P9	1001	3747	4.96	1.7258 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C pos	P8	0	0	0	0	[13]C5H4N4O
Hypoxanthine U-13C pos	P7	889	3328	11.96	2.3703 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C pos	P6	757	2853	16.51	3.0147 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C pos	P5	943	3479	9.46	.0073 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C pos	P4	12385	43236	4.77	-4.8261 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C pos	P3	0	0	0	0	[13]C5H4N4O
Hypoxanthine U-13C pos	P2	8067	28436	3.86	3.0147 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C pos	P1	1844	6796	12.48	1.8332 (ppm)	[13]C5H4N4O
Hypoxanthine U-13C pos	solvent_blank_1	1601	5825	5.59	1.9406 (ppm)	[13]C5H4N4O
IMP neg	solvent_blank_2	725	2729	15.86	-.1602 (ppm)	C10H13N4O8P
IMP neg	P9	19258	329011	8.08	-1.5672 (ppm)	C10H13N4O8P
IMP neg	P8	775	2843	2.49	-2.1827 (ppm)	C10H13N4O8P
IMP neg	P7	950	3572	10.72	3.6211 (ppm)	C10H13N4O8P
IMP neg	P6	6250	21802	11.18	-.9516 (ppm)	C10H13N4O8P
IMP neg	P5	53353	413868	10.32	-4.9967 (ppm)	C10H13N4O8P
IMP neg	P4	6956	48352	10.46	-2.0948 (ppm)	C10H13N4O8P
IMP neg	P3	7031	120856	9.4	-.9516 (ppm)	C10H13N4O8P
IMP neg	P2	36661176	519589551	10.49	-2.1827 (ppm)	C10H13N4O8P
IMP neg	P1	4466	30161	6.34	-.5119 (ppm)	C10H13N4O8P
IMP neg	solvent_blank_1	10025	287561	6.82	.0157 (ppm)	C10H13N4O8P
IMP pos	solvent_blank_2	974	3645	11.23	4.2907 (ppm)	C10H13N4O8P
IMP pos	P9	538	2059	12.96	3.0667 (ppm)	C10H13N4O8P
IMP pos	P8	3887	13977	5.78	-.6053 (ppm)	C10H13N4O8P
IMP pos	P7	981	3686	15.92	.0941 (ppm)	C10H13N4O8P
IMP pos	P6	10837	37290	10.14	.5312 (ppm)	C10H13N4O8P
IMP pos	P5	2711	9840	2.63	-2.9659 (ppm)	C10H13N4O8P
IMP pos	P4	5515	19803	7.27	-1.2174 (ppm)	C10H13N4O8P
IMP pos	P3	7081	76291	8.92	-.6053 (ppm)	C10H13N4O8P
IMP pos	P2	26227130	338773952	10.5	-.6053 (ppm)	C10H13N4O8P
IMP pos	P1	4455	15947	7.76	-2.4414 (ppm)	C10H13N4O8P
IMP pos	solvent_blank_1	7135	161596	6.84	.2689 (ppm)	C10H13N4O8P
IMP U-13C neg	solvent_blank_2	0	0	0	0	[13]C10H13N4O8P
IMP U-13C neg	P9	0	0	0	0	[13]C10H13N4O8P
IMP U-13C neg	P8	4653	29422	7.61	4.8555 (ppm)	[13]C10H13N4O8P
IMP U-13C neg	P7	831	3101	13.49	1.9496 (ppm)	[13]C10H13N4O8P
IMP U-13C neg	P6	0	0	0	0	[13]C10H13N4O8P
IMP U-13C neg	P5	0	0	0	0	[13]C10H13N4O8P
IMP U-13C neg	P4	19163	131491	9.51	-.5289 (ppm)	[13]C10H13N4O8P
IMP U-13C neg	P3	0	0	0	0	[13]C10H13N4O8P
IMP U-13C neg	P2	0	0	0	0	[13]C10H13N4O8P
IMP U-13C neg	P1	0	0	0	0	[13]C10H13N4O8P
IMP U-13C neg	solvent_blank_1	0	0	0	0	[13]C10H13N4O8P
IMP U-13C pos	solvent_blank_2	1307	4792	9.2	-.2518 (ppm)	[13]C10H13N4O8P
IMP U-13C pos	P9	1063	4015	9.45	1.1080 (ppm)	[13]C10H13N4O8P
IMP U-13C pos	P8	2016	7218	12.17	-4.6711 (ppm)	[13]C10H13N4O8P
IMP U-13C pos	P7	0	0	0	0	[13]C10H13N4O8P
IMP U-13C pos	P6	0	0	0	0	[13]C10H13N4O8P
IMP U-13C pos	P5	0	0	0	0	[13]C10H13N4O8P
IMP U-13C pos	P4	3802	13621	10.36	-1.3566 (ppm)	[13]C10H13N4O8P
IMP U-13C pos	P3	0	0	0	0	[13]C10H13N4O8P
IMP U-13C pos	P2	0	0	0	0	[13]C10H13N4O8P
IMP U-13C pos	P1	0	0	0	0	[13]C10H13N4O8P
IMP U-13C pos	solvent_blank_1	0	0	0	0	[13]C10H13N4O8P
Indolelactate neg	solvent_blank_2	5855	96455	4.65	-1.1222 (ppm)	C11H11NO3
Indolelactate neg	P9	3166	61012	4.79	-.9727 (ppm)	C11H11NO3
Indolelactate neg	P8	5530	43820	4.69	-2.3934 (ppm)	C11H11NO3
Indolelactate neg	P7	1365163210	22576667468	4.73	-1.9447 (ppm)	C11H11NO3
Indolelactate neg	P6	4435	67074	4.84	-2.0195 (ppm)	C11H11NO3
Indolelactate neg	P5	2055	31189	1.93	-1.2718 (ppm)	C11H11NO3
Indolelactate neg	P4	10876	119727	4.81	-1.7952 (ppm)	C11H11NO3
Indolelactate neg	P3	6108	68576	4.81	-1.6456 (ppm)	C11H11NO3
Indolelactate neg	P2	40371	223443	3.88	-1.7204 (ppm)	C11H11NO3
Indolelactate neg	P1	8246	154368	4.71	-.9727 (ppm)	C11H11NO3
Indolelactate neg	solvent_blank_1	11698	195160	4.77	-1.5709 (ppm)	C11H11NO3
Indolelactate pos	solvent_blank_2	3400	51781	6.14	2.1060 (ppm)	C11H11NO3
Indolelactate pos	P9	62687	353423	3.88	-.4855 (ppm)	C11H11NO3
Indolelactate pos	P8	175319	2769131	6.15	.3290 (ppm)	C11H11NO3
Indolelactate pos	P7	64605381	1320352960	4.77	.4030 (ppm)	C11H11NO3
Indolelactate pos	P6	26167	328583	2.66	-.1893 (ppm)	C11H11NO3
Indolelactate pos	P5	13805	223314	2.45	-.4855 (ppm)	C11H11NO3
Indolelactate pos	P4	116387	970155	2.52	-.1893 (ppm)	C11H11NO3
Indolelactate pos	P3	7984	145410	3.99	.4030 (ppm)	C11H11NO3
Indolelactate pos	P2	12423	60859	3.86	.6992 (ppm)	C11H11NO3
Indolelactate pos	P1	185064	1622726	8.33	-1.1519 (ppm)	C11H11NO3
Indolelactate pos	solvent_blank_1	4895	74939	2.72	-.1893 (ppm)	C11H11NO3
Indolelactate U-13C neg	solvent_blank_2	1380	13817	2.66	-.3750 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	P9	3852	53154	5.94	-2.2903 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	P8	14146	73198	7.97	-3.7091 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	P7	1758	17581	1	-1.2263 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	P6	20615	159592	3.7	3.7393 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	P5	2822	13033	3.49	-.3041 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	P4	93811	762775	3.86	3.6684 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	P3	17042	312573	3.53	4.5196 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	P2	52138	344616	3.82	2.6753 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	P1	1800	37531	5.46	1.0437 (ppm)	[13]C11H11NO3
Indolelactate U-13C neg	solvent_blank_1	2500	24144	6.62	2.0368 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	solvent_blank_2	4068	96631	7.1	.8549 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	P9	7599	157804	4.27	.3630 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	P8	19903	68312	7.96	-1.3940 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	P7	14268	214666	7.19	1.4171 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	P6	9211	187961	6.23	-.0587 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	P5	4893	125150	5.91	1.7685 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	P4	5396	75741	7.39	.5738 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	P3	5063	108495	5.19	1.1360 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	P2	2643	63002	0.73	.8549 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	P1	26503	547554	5.51	-.1993 (ppm)	[13]C11H11NO3
Indolelactate U-13C pos	solvent_blank_1	5111	87466	2.77	-.5507 (ppm)	[13]C11H11NO3
Inosine neg	solvent_blank_2	1352	5007	7.03	-2.8704 (ppm)	C10H12N4O5
Inosine neg	P9	1501	10103	8.92	-4.6987 (ppm)	C10H12N4O5
Inosine neg	P8	1058	4079	14.03	-4.6987 (ppm)	C10H12N4O5
Inosine neg	P7	3754	56383	0.61	-1.7277 (ppm)	C10H12N4O5
Inosine neg	P6	584004198	8668282984	6.92	-2.0705 (ppm)	C10H12N4O5
Inosine neg	P5	1401	6962	9.35	-1.4992 (ppm)	C10H12N4O5
Inosine neg	P4	4765	16356	2.73	4.5569 (ppm)	C10H12N4O5
Inosine neg	P3	9678	53561	9.95	3.7570 (ppm)	C10H12N4O5
Inosine neg	P2	70384	843401	10.46	-1.6135 (ppm)	C10H12N4O5
Inosine neg	P1	2274	8263	6	-.4708 (ppm)	C10H12N4O5
Inosine neg	solvent_blank_1	2065	11109	1.16	-.9279 (ppm)	C10H12N4O5
Inosine pos	solvent_blank_2	1696	6278	9.8	-3.9946 (ppm)	C10H12N4O5
Inosine pos	P9	1176	4409	9.98	.2016 (ppm)	C10H12N4O5
Inosine pos	P8	452	1802	16.42	1.9028 (ppm)	C10H12N4O5
Inosine pos	P7	3303	44683	0.26	.0882 (ppm)	C10H12N4O5
Inosine pos	P6	512737898	8855888410	6.93	.2016 (ppm)	C10H12N4O5
Inosine pos	P5	3966	14370	6.63	-.3655 (ppm)	C10H12N4O5
Inosine pos	P4	8450	44396	2.46	4.1710 (ppm)	C10H12N4O5
Inosine pos	P3	3272	11993	0.55	-2.1800 (ppm)	C10H12N4O5
Inosine pos	P2	3665	13284	6.64	-1.8398 (ppm)	C10H12N4O5
Inosine pos	P1	6404	22280	10.08	-2.4069 (ppm)	C10H12N4O5
Inosine pos	solvent_blank_1	1962	7181	1.71	-2.8605 (ppm)	C10H12N4O5
Inosine U-13C neg	solvent_blank_2	2309	25282	6.39	3.8009 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	P9	4937	43284	6.29	2.6996 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	P8	2458	13195	4.25	3.0300 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	P7	2674	9816	3.34	2.9199 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	P6	3653	12608	6.02	2.3692 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	P5	2832	19759	1.88	2.2591 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	P4	7356	25487	3.75	3.4705 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	P3	2673	21709	5.41	2.2591 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	P2	3753	23956	7.12	2.4794 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	P1	3979	13788	7.43	2.3692 (ppm)	[13]C10H12N4O5
Inosine U-13C neg	solvent_blank_1	2080	16788	5.81	.6072 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	solvent_blank_2	885	3254	3.52	-4.4019 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	P9	2833	10133	1.99	4.1262 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	P8	2671	9698	4.23	2.9235 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	P7	2897	15998	2	3.5795 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	P6	2036	7405	8.91	4.2355 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	P5	1667	5853	4.71	4.0168 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	P4	9292	32069	3.11	2.3768 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	P3	5312	26159	1.95	2.3768 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	P2	56741	728996	12.99	4.6728 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	P1	3722	35250	1.91	4.5635 (ppm)	[13]C10H12N4O5
Inosine U-13C pos	solvent_blank_1	1856	6793	2.12	-1.1219 (ppm)	[13]C10H12N4O5
Isoleucine neg	solvent_blank_2	5658	279258	7.39	-.7706 (ppm)	C6H13NO2
Isoleucine neg	P9	13606	506738	6.26	-.7706 (ppm)	C6H13NO2
Isoleucine neg	P8	22656	480431	12.21	-.4187 (ppm)	C6H13NO2
Isoleucine neg	P7	24396	731874	9.76	-1.9436 (ppm)	C6H13NO2
Isoleucine neg	P6	43723	847288	5.24	-1.7090 (ppm)	C6H13NO2
Isoleucine neg	P5	23995	703979	11.53	-.7706 (ppm)	C6H13NO2
Isoleucine neg	P4	30686	1024845	6.73	-1.4744 (ppm)	C6H13NO2
Isoleucine neg	P3	21148	274952	5.66	-2.1781 (ppm)	C6H13NO2
Isoleucine neg	P2	34415	296160	8.78	-.3014 (ppm)	C6H13NO2
Isoleucine neg	P1	74117208	1854423250	6.75	-.8879 (ppm)	C6H13NO2
Isoleucine neg	solvent_blank_1	0	0	0	0	C6H13NO2
Isoleucine pos	solvent_blank_2	19672	467847	7.13	.2571 (ppm)	C6H13NO2
Isoleucine pos	P9	66513	1526628	7.08	.0261 (ppm)	C6H13NO2
Isoleucine pos	P8	55581	1840764	7.04	.2571 (ppm)	C6H13NO2
Isoleucine pos	P7	0	0	0	0	C6H13NO2
Isoleucine pos	P6	758665	12130703	7.1	1.0657 (ppm)	C6H13NO2
Isoleucine pos	P5	0	0	0	0	C6H13NO2
Isoleucine pos	P4	139410	2715077	7.04	.4882 (ppm)	C6H13NO2
Isoleucine pos	P3	91952	1430331	7.2	-.0894 (ppm)	C6H13NO2
Isoleucine pos	P2	1653380	17993459	7.02	-.2049 (ppm)	C6H13NO2
Isoleucine pos	P1	602413004	8663111438	7.05	1.0657 (ppm)	C6H13NO2
Isoleucine pos	solvent_blank_1	54339	468208	7.04	-.0894 (ppm)	C6H13NO2
Isoleucine U-13C neg	solvent_blank_2	0	0	0	0	[13]C6H13NO2
Isoleucine U-13C neg	P9	570	2158	12.11	-4.6872 (ppm)	[13]C6H13NO2
Isoleucine U-13C neg	P8	0	0	0	0	[13]C6H13NO2
Isoleucine U-13C neg	P7	0	0	0	0	[13]C6H13NO2
Isoleucine U-13C neg	P6	2173	7614	7.28	-1.6602 (ppm)	[13]C6H13NO2
Isoleucine U-13C neg	P5	0	0	0	0	[13]C6H13NO2
Isoleucine U-13C neg	P4	9136	55778	3.52	-4.0145 (ppm)	[13]C6H13NO2
Isoleucine U-13C neg	P3	0	0	0	0	[13]C6H13NO2
Isoleucine U-13C neg	P2	1569	9316	6.68	-1.4360 (ppm)	[13]C6H13NO2
Isoleucine U-13C neg	P1	870	3178	5.73	-1.4360 (ppm)	[13]C6H13NO2
Isoleucine U-13C neg	solvent_blank_1	1544	5596	3.73	4.0573 (ppm)	[13]C6H13NO2
Isoleucine U-13C pos	solvent_blank_2	0	0	0	0	[13]C6H13NO2
Isoleucine U-13C pos	P9	669	2532	0.17	.0709 (ppm)	[13]C6H13NO2
Isoleucine U-13C pos	P8	1995	7183	4.53	3.6061 (ppm)	[13]C6H13NO2
Isoleucine U-13C pos	P7	0	0	0	0	[13]C6H13NO2
Isoleucine U-13C pos	P6	3397	11761	6.48	4.1584 (ppm)	[13]C6H13NO2
Isoleucine U-13C pos	P5	0	0	0	0	[13]C6H13NO2
Isoleucine U-13C pos	P4	21776	77355	13.11	-.9233 (ppm)	[13]C6H13NO2
Isoleucine U-13C pos	P3	0	0	0	0	[13]C6H13NO2
Isoleucine U-13C pos	P2	6206	28493	6.76	1.3966 (ppm)	[13]C6H13NO2
Isoleucine U-13C pos	P1	723	2588	0.07	-2.1385 (ppm)	[13]C6H13NO2
Isoleucine U-13C pos	solvent_blank_1	1330	4854	2.6	3.1642 (ppm)	[13]C6H13NO2
Itaconate neg	solvent_blank_2	0	0	0	0	C5H6O4
Itaconate neg	P9	44648	1693817	1.92	-.3324 (ppm)	C5H6O4
Itaconate neg	P8	40928	900045	12.27	.0224 (ppm)	C5H6O4
Itaconate neg	P7	281530723	3819538924	10.19	.0224 (ppm)	C5H6O4
Itaconate neg	P6	64589764	933306686	10.32	.0224 (ppm)	C5H6O4
Itaconate neg	P5	97407421	1799629833	12.03	.6137 (ppm)	C5H6O4
Itaconate neg	P4	73579	805738	3.95	-.0959 (ppm)	C5H6O4
Itaconate neg	P3	88027	2599605	9.52	.0224 (ppm)	C5H6O4
Itaconate neg	P2	0	0	0	0	C5H6O4
Itaconate neg	P1	95931	1796607	7.46	.1406 (ppm)	C5H6O4
Itaconate neg	solvent_blank_1	95679	3577228	6.17	-.0959 (ppm)	C5H6O4
Itaconate pos	solvent_blank_2	740	2795	15.01	-1.5156 (ppm)	C5H6O4
Itaconate pos	P9	917	3469	9.54	-2.6801 (ppm)	C5H6O4
Itaconate pos	P8	1027	3739	1.76	-1.5156 (ppm)	C5H6O4
Itaconate pos	P7	34981	414272	10.2	.1147 (ppm)	C5H6O4
Itaconate pos	P6	241397	2769235	11.99	.3476 (ppm)	C5H6O4
Itaconate pos	P5	0	0	0	0	C5H6O4
Itaconate pos	P4	67208	1067845	9.61	1.0463 (ppm)	C5H6O4
Itaconate pos	P3	0	0	0	0	C5H6O4
Itaconate pos	P2	0	0	0	0	C5H6O4
Itaconate pos	P1	112674	1542571	9.83	-.3511 (ppm)	C5H6O4
Itaconate pos	solvent_blank_1	1580	5752	8.11	-1.5156 (ppm)	C5H6O4
Itaconate U-13C neg	solvent_blank_2	2431	144517	15.21	-1.1959 (ppm)	[13]C5H6O4
Itaconate U-13C neg	P9	15422	221961	3.59	-2.3343 (ppm)	[13]C5H6O4
Itaconate U-13C neg	P8	28447	306491	7.43	-1.3097 (ppm)	[13]C5H6O4
Itaconate U-13C neg	P7	5507	78563	1.84	-1.0821 (ppm)	[13]C5H6O4
Itaconate U-13C neg	P6	653569	14364022	3.59	-.9682 (ppm)	[13]C5H6O4
Itaconate U-13C neg	P5	2649	126708	6.29	-1.1959 (ppm)	[13]C5H6O4
Itaconate U-13C neg	P4	1047266	19633236	3.72	-.2852 (ppm)	[13]C5H6O4
Itaconate U-13C neg	P3	634061	17776473	3.51	-.9682 (ppm)	[13]C5H6O4
Itaconate U-13C neg	P2	1363631	15390590	3.82	-.9682 (ppm)	[13]C5H6O4
Itaconate U-13C neg	P1	25354	296985	10.1	4.4962 (ppm)	[13]C5H6O4
Itaconate U-13C neg	solvent_blank_1	13047	132334	3.65	-.2852 (ppm)	[13]C5H6O4
Itaconate U-13C pos	solvent_blank_2	2622	47017	8.54	.1061 (ppm)	[13]C5H6O4
Itaconate U-13C pos	P9	12261	126987	5.6	-2.3613 (ppm)	[13]C5H6O4
Itaconate U-13C pos	P8	104414	1224881	7.42	-.1182 (ppm)	[13]C5H6O4
Itaconate U-13C pos	P7	13656	93712	8.44	-1.8005 (ppm)	[13]C5H6O4
Itaconate U-13C pos	P6	8772	146872	3.6	-.9033 (ppm)	[13]C5H6O4
Itaconate U-13C pos	P5	3027	53721	8.62	-1.0154 (ppm)	[13]C5H6O4
Itaconate U-13C pos	P4	242935	4315689	6.55	-.7911 (ppm)	[13]C5H6O4
Itaconate U-13C pos	P3	31321	108240	6.38	-2.8099 (ppm)	[13]C5H6O4
Itaconate U-13C pos	P2	138835	1361907	7.49	-.6790 (ppm)	[13]C5H6O4
Itaconate U-13C pos	P1	4800	115681	5.24	-.7911 (ppm)	[13]C5H6O4
Itaconate U-13C pos	solvent_blank_1	5054	141915	5.41	-.4547 (ppm)	[13]C5H6O4
Ketoisoleucine neg	solvent_blank_2	66939	1011171	2.66	-.3152 (ppm)	C6H10O3
Ketoisoleucine neg	P9	400239	6368811	4.01	-.0787 (ppm)	C6H10O3
Ketoisoleucine neg	P8	120574	1504528	4.01	-.0787 (ppm)	C6H10O3
Ketoisoleucine neg	P7	1079325593	9380747759	2.49	-.3152 (ppm)	C6H10O3
Ketoisoleucine neg	P6	308788	8343718	4.01	.5124 (ppm)	C6H10O3
Ketoisoleucine neg	P5	452383	6598313	4	-.1970 (ppm)	C6H10O3
Ketoisoleucine neg	P4	380988	5527308	4.08	.0395 (ppm)	C6H10O3
Ketoisoleucine neg	P3	246319	3926573	4.03	-.0787 (ppm)	C6H10O3
Ketoisoleucine neg	P2	598570	10473640	3.97	.0395 (ppm)	C6H10O3
Ketoisoleucine neg	P1	911789	16275743	4.03	-.0787 (ppm)	C6H10O3
Ketoisoleucine neg	solvent_blank_1	96437	3399013	1.93	-.1970 (ppm)	C6H10O3
Ketoisoleucine pos	solvent_blank_2	3573	69358	2.64	.9063 (ppm)	C6H10O3
Ketoisoleucine pos	P9	8084	161619	2.2	-.6071 (ppm)	C6H10O3
Ketoisoleucine pos	P8	6734	93665	2.68	.3243 (ppm)	C6H10O3
Ketoisoleucine pos	P7	4932	117040	2.65	-1.6548 (ppm)	C6H10O3
Ketoisoleucine pos	P6	268757	3956997	5.55	.5571 (ppm)	C6H10O3
Ketoisoleucine pos	P5	3324	86857	5.91	-.8399 (ppm)	C6H10O3
Ketoisoleucine pos	P4	102090	571426	4.1	-1.1892 (ppm)	C6H10O3
Ketoisoleucine pos	P3	25508	174047	7.2	1.0228 (ppm)	C6H10O3
Ketoisoleucine pos	P2	146041	771376	9.45	-2.5862 (ppm)	C6H10O3
Ketoisoleucine pos	P1	8955	201666	2.64	-.4907 (ppm)	C6H10O3
Ketoisoleucine pos	solvent_blank_1	4131	82474	2.51	-.6071 (ppm)	C6H10O3
Ketoisoleucine U-13C neg	solvent_blank_2	872	3213	9.4	.2366 (ppm)	[13]C6H10O3
Ketoisoleucine U-13C neg	P9	2034	9348	8.19	-2.0227 (ppm)	[13]C6H10O3
Ketoisoleucine U-13C neg	P8	1126	12096	14.53	-1.2319 (ppm)	[13]C6H10O3
Ketoisoleucine U-13C neg	P7	654	2468	15.44	1.3662 (ppm)	[13]C6H10O3
Ketoisoleucine U-13C neg	P6	22364	242282	3.59	-.7801 (ppm)	[13]C6H10O3
Ketoisoleucine U-13C neg	P5	946	9342	14.59	-.4412 (ppm)	[13]C6H10O3
Ketoisoleucine U-13C neg	P4	31170	452433	3.72	-1.6838 (ppm)	[13]C6H10O3
Ketoisoleucine U-13C neg	P3	24338	494301	3.62	-1.1190 (ppm)	[13]C6H10O3
